dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,-0.026939,0.000002,0.028552,1.142080,22.841599,456.831977,3.141420
0.050000,-0.141147,0.000064,0.142760,3.426240,45.683198,456.831977,3.140687
0.050000,-0.398115,0.000509,0.399728,6.852480,68.524797,456.831977,3.139034
0.050000,-0.854943,0.002350,0.856560,11.420799,91.366395,456.831977,3.136087
0.050000,-1.568720,0.007931,1.570360,17.131199,114.207994,456.831977,3.131456
0.050000,-2.596497,0.021800,2.598232,23.983679,137.049593,456.831977,3.124732
0.050000,-3.995217,0.051849,3.997280,31.978238,159.891192,456.831977,3.115474
0.050000,-5.821584,0.110748,5.824608,41.114878,182.732791,456.831977,3.103201
0.050000,-8.131796,0.217739,8.137320,51.393597,205.574390,456.831977,3.087371
0.050000,-10.981070,0.400850,10.992519,62.814397,228.415989,456.831977,3.067376
0.050000,-14.394419,0.696784,14.418759,74.235196,228.415989,0.000000,3.042726
0.050000,-18.365784,1.149919,18.416039,85.655996,228.415989,-0.000000,3.013085
0.050000,-22.857159,1.809438,22.955807,95.934715,205.574390,-456.831977,2.978310
0.050000,-27.798015,2.724188,27.980959,105.071355,182.732791,-456.831977,2.938524
0.050000,-33.113258,3.942047,33.434390,113.065914,159.891192,-456.831977,2.893960
0.050000,-38.723162,5.506739,39.258998,119.918394,137.049593,-456.831977,2.845009
0.050000,-44.543957,7.454297,45.397678,125.628794,114.207994,-456.831977,2.792255
0.050000,-50.489279,9.809474,51.793325,130.197114,91.366395,-456.831977,2.736489
0.050000,-56.472491,12.582531,58.388837,133.623353,68.524797,-456.831977,2.678695
0.050000,-62.409710,15.766976,65.127109,135.907513,45.683198,-456.831977,2.619991
0.050000,-68.223105,19.338694,71.951036,137.049593,22.841599,-456.831977,2.561542
0.050000,-73.821408,23.240046,78.775558,135.931268,-22.366506,-904.162107,2.504697
0.050000,-79.128278,27.393885,85.515611,133.670863,-45.208105,-456.831977,2.450625
0.050000,-84.103874,31.726796,92.114092,130.268377,-68.049704,-456.831977,2.400042
0.050000,-88.719884,36.158786,98.513897,125.723812,-90.891303,-456.831977,2.353434
0.050000,-92.957943,40.606510,104.657921,120.037167,-113.732902,-456.831977,2.311083
0.050000,-96.807566,44.985837,110.489062,113.208442,-136.574501,-456.831977,2.273102
0.050000,-100.263955,49.213691,115.950214,105.237637,-159.416100,-456.831977,2.239479
0.050000,-103.325905,53.209238,120.984273,96.124752,-182.257699,-456.831977,2.210127
0.050000,-105.993936,56.894584,125.534137,85.869787,-205.099297,-456.831977,2.184919
0.050000,-108.268678,60.195118,129.542700,74.472743,-227.940896,-456.831977,2.163716
0.050000,-110.164703,63.063121,132.980817,63.051943,-228.415989,-9.501848,2.146259
0.050000,-111.707983,65.479375,135.847894,51.631144,-228.415989,0.000000,2.132200
0.050000,-112.934256,67.453496,138.171890,41.328670,-206.049482,447.330130,2.121128
0.050000,-113.888440,69.023731,140.009313,32.168275,-183.207883,456.831977,2.112575
0.050000,-114.610570,70.232392,141.417269,24.149961,-160.366285,456.831977,2.106138
0.050000,-115.136776,71.124331,142.452862,17.273727,-137.524686,456.831977,2.101468
0.050000,-115.500345,71.746180,143.173194,11.539573,-114.683087,456.831977,2.098252
0.050000,-115.732565,72.145781,143.635371,6.947498,-91.841488,456.831977,2.096202
0.050000,-115.863406,72.371762,143.896496,3.497504,-68.999889,456.831977,2.095048
0.050000,-115.922034,72.473217,144.013673,1.189589,-46.158290,456.831977,2.094531
0.050000,-115.937203,72.499486,144.044007,0.023755,-23.316691,456.831977,2.094398
0.050000,-115.937500,72.500000,144.044601,0.000000,-0.475092,456.831977,2.094395
0.050000,-115.937500,72.500000,144.044601,0.000000,0.000000,9.501848,2.094395
